index,trade_date,volume,price,volatility,spx_beta,market_cap,avg_market_size,primary_route,industry_group,med_spread_1,med_spread_2,med_spread_3,med_spread_4
163,2018-06-01,35980.0,48.76,2.3424,-0.036099522883,399.83,1102.169187,ARCA,,0.02921025,0.0261765,0.0175172222222,0.017624
164,2018-06-01,169558.0,93.5,41.4144,1.20857201446,5386.13,168.277926,NASDAQ,Pharmaceuticals,1.162843875,0.378406375,0.188417888889,0.0820281111111
165,2018-06-01,1615944.0,5.54,33.3504,0.016106266107,2158.13,6352.140094,NYSE,Mining,0.010669625,0.01,0.01,0.01
166,2018-06-01,136986.0,10.68,84.3904,1.32363430636,233.45,243.6033575,NASDAQ,Pharmaceuticals,0.22371375,0.082633,0.0473311111111,0.0297062222222
167,2018-06-01,380.0,25.4,6.8032,-0.0153884095549,,239.159125,NYSE,Sovereign,0.281834,0.2004686,0.1403442,0.154
168,2018-06-01,290.0,85.5,33.536,-0.0641908790641,985.79,137.24447425,NYSE,Diversified Finan Serv,1.356854,1.28204214286,0.87002175,0.684021
169,2018-06-01,826.5,26.0,5.0176,0.010590922331,,422.547691,NYSE,Sovereign,0.1261235,0.1169462,0.105,0.094
170,2018-06-01,5.0,25.872,3.5712,-0.00338313099352,,100.0,NYSE,Sovereign,,0.79,0.653333333333,0.79
171,2018-06-01,69483.0,9.9,149.696,1.47067741739,328.84,313.3337755,NASDAQ,Diversified Finan Serv,0.459936,0.2710858,0.206626,0.115542
172,2018-06-01,22232.0,93.51,36.5824,0.506473155813,985.98,195.401173,NYSE,Diversified Finan Serv,1.663657125,1.334852125,0.616517666667,0.332022777778
173,2018-06-01,6066.0,25.8905,8.0512,0.00461085039777,,226.164048,NASDAQ,REITS,,,0.0546597777778,
174,2018-06-01,13375.0,25.79,9.5808,-0.00511148816801,,424.553887,NASDAQ,REITS,,,0.0510424444444,0.0658936666667
175,2018-06-01,3866445.0,18.82,12.5888,0.182126694909,8016.42,9077.1039135,NASDAQ,REITS,0.01,0.01,0.01,0.01
176,2018-06-01,4155.0,43.66,5.5808,-0.025125105527,39.29,409.366721,NASDAQ,,0.188554,0.1890775,0.195009,0.219078857143
177,2018-06-01,1574324.0,150.8,27.9616,0.945206713019,51130.79,205.463287,NYSE,Pharmaceuticals,0.22650175,0.170614,0.0804157777778,0.0356586666667
178,2018-06-01,3141.0,25.62,6.7072,-0.040586667105,,325.018113,NYSE,Insurance,0.109821666667,0.11147675,0.0913754444444,0.07905775
179,2018-06-01,5407.0,25.65,7.8464,0.0139062952485,,423.6922585,NYSE,Insurance,0.18963,0.170880875,0.089741,0.0841178888889
180,2018-06-01,1040.0,24.79,14.8352,0.0372977409046,,419.0748555,NYSE,Insurance,0.50174225,0.386444625,0.358863444444,0.324585444444
181,2018-06-01,485863.0,35.49,19.8208,0.640408930892,3987.71,274.6884975,NYSE,Insurance,0.09308625,0.040982625,0.0155728888889,0.0102714444444
