index,symbol,trade_date,volume,price,volatility,spx_beta,market_cap,avg_market_size,primary_route,industry_group
182,AIQ US,2019-01-02,6764.0,12.93,28.0832,0.367597640446,31.68,173.1447425,NASDAQ,
183,AIRG US,2019-01-02,39339.0,9.91,62.4448,0.34989522407,98.25,199.823037,NASDAQ,Telecommunications
184,AIRI US,2019-01-02,58952.0,0.715,134.6048,0.0219512460467,19.84,5387.500236,AMEX,Aerospace/Defense
185,AIRR US,2019-01-02,109662.0,21.69,27.1232,0.496196832582,112.79,733.295242,NASDAQ,
186,AIRT US,2019-01-02,3434.0,24.5,122.3424,0.473117369955,49.73,350.7669145,NASDAQ,Transportation
187,AIR US,2019-01-02,327670.0,37.34,44.1664,1.03687128357,1310.45,159.1647575,NYSE,Aerospace/Defense
188,AIT US,2019-01-02,124387.0,53.94,41.6448,1.13766666394,2090.42,139.6130265,NYSE,Machinery-Diversified
189,AI US,2019-01-02,498338.0,7.24,29.9584,0.73727912083,219.7,697.9593125,NYSE,Diversified Finan Serv
190,AIV US,2019-01-02,1895278.0,43.88,22.88,0.529137638923,6829.67,253.363452,NYSE,REITS
191,AIZ US,2019-01-02,280032.0,89.44,29.2992,0.929350217762,5550.1,139.546495,NYSE,Insurance
192,AJG US,2019-01-02,602531.0,73.7,22.2656,0.768064134933,13535.15,217.237009,NYSE,Insurance
193,AJRD US,2019-01-02,520582.0,35.23,39.424,1.01312375906,2758.51,195.0438385,NYSE,Aerospace/Defense
194,AJX US,2019-01-02,54111.0,12.05,30.0928,0.493691929228,227.22,283.938033,NYSE,REITS
195,AKAM US,2019-01-02,1204744.0,61.08,29.7472,0.987678237453,9947.86,176.071137,NASDAQ,Software
196,AKAO US,2019-01-02,641602.0,1.23,115.712,1.62411303802,56.73,1912.493622,NASDAQ,Pharmaceuticals
197,AKBA US,2019-01-02,1416596.0,5.53,87.1488,1.17388947061,564.7,441.3045395,NASDAQ,Pharmaceuticals
198,AKCA US,2019-01-02,158196.0,30.14,81.312,1.07669190435,2688.82,204.717518,NASDAQ,Pharmaceuticals
199,AKER US,2019-01-02,393632.0,1.13,140.4288,0.333007154306,14.1,1551.466394,NASDAQ,Healthcare-Products
200,AKG US,2019-01-02,379874.0,0.6386,81.8048,0.315873201588,144.2,1653.4694245,AMEX,Mining
201,AKO/A US,2019-01-02,865.0,18.94,48.96,-0.0738706742921,3294.06,149.8677045,NYSE,Beverages
202,AKO/B US,2019-01-02,9982.0,22.82,55.9296,0.205548201338,3294.06,215.230883,NYSE,Beverages
203,AKP US,2019-01-02,13585.0,13.68,9.5232,-0.00436855418775,117.03,467.319501,NYSE,
204,AKR US,2019-01-02,403020.0,23.76,27.9808,0.617976075499,1937.71,221.4288385,NYSE,REITS
205,AKRX US,2019-01-02,2542404.0,3.39,81.216,1.11043879575,425.42,1602.6482505,NASDAQ,Pharmaceuticals
206,AKS US,2019-01-02,9349504.0,2.25,64.9856,1.77517576873,709.97,17417.288915,NYSE,Iron/Steel
207,AKTS US,2019-01-02,111668.0,4.97,79.136,0.472079847715,147.23,499.993089,NASDAQ,Electronics
208,AKTX US,2019-01-02,33863.0,1.57,90.1568,-0.0792907096371,24.82,717.9901535,NASDAQ,Pharmaceuticals
209,ALAC US,2019-01-02,0.0,9.8,4.0384,-0.00535527369248,143.96,1131.641774,NASDAQ,Holding Companies-Divers
210,ALBO US,2019-01-02,57260.0,24.53,90.4768,0.394805727879,293.62,268.1188365,NASDAQ,Biotechnology
211,ALB US,2019-01-02,1413748.0,77.07,35.7696,1.06191800053,8185.29,175.933532,NYSE,Chemicals
212,ALCO US,2019-01-02,7138.0,29.5,48.1408,0.0248645932792,219.92,262.509397,NASDAQ,Agriculture
213,ALDR US,2019-01-02,545418.0,10.25,62.6048,1.07272087711,700.35,208.400155,NASDAQ,Biotechnology
214,ALD US,2019-01-02,1030.0,43.63,8.4736,0.0147483723848,17.45,161.8759625,ARCA,
215,ALDX US,2019-01-02,181064.0,8.3,77.9008,1.4452174356,217.83,231.87983,NASDAQ,Biotechnology
216,ALE US,2019-01-02,196611.0,76.22,25.7152,0.500989272627,3919.58,142.861055,NYSE,Electric
217,ALEX US,2019-01-02,290841.0,18.38,37.1456,0.840446214492,1323.86,230.2149495,NYSE,REITS
218,ALFA US,2019-01-02,2248.0,42.2937,41.5168,0.405956765584,19.03,332.7144555,BATS,
219,ALGN US,2019-01-02,855560.0,209.43,49.3632,1.34740632872,16751.13,144.848889,NASDAQ,Healthcare-Products
220,ALGR US,2019-01-02,25040.0,9.75,11.1104,0.0349600684601,162.07,3445.5967645,NASDAQ,Holding Companies-Divers
221,ALGRU US,2019-01-02,98.0,10.31,5.1904,0.00672442370038,196.51,999.73668,NASDAQ,Holding Companies-Divers
222,ALGT US,2019-01-02,257545.0,100.22,42.7136,0.796622893016,1619.91,149.186308,NASDAQ,Airlines
223,ALG US,2019-01-02,47359.0,77.32,48.9408,0.738672117765,907.37,165.191558,NYSE,Machinery-Diversified
224,ALIM US,2019-01-02,99488.0,0.7181,108.9984,0.191652156726,50.32,3549.676283,NASDAQ,Pharmaceuticals
